year, month, day, hour, minute, second, I total up North [MA], I total down North [MA], I day up North [MA], I day down North [MA], I night up North [MA], I night down North [MA], I total up South [MA], I total down South [MA], I day up South [MA], I day down South [MA], I night up South [MA], I night down South [MA]
2024 05 11 05 34 00    17.63  -17.53   11.39  -12.66    6.24   -4.88   12.54  -12.95    7.01   -7.72    5.53   -5.22
2024 05 11 05 36 00    16.69  -16.24   10.13  -11.18    6.56   -5.05   11.51  -11.75    6.28   -7.05    5.23   -4.70
2024 05 11 05 38 00    16.76  -16.28   10.08  -11.31    6.67   -4.98   11.82  -11.97    6.52   -7.12    5.30   -4.85
2024 05 11 05 40 00    17.24  -16.75   10.26  -11.38    6.98   -5.37   11.68  -12.08    6.46   -6.97    5.22   -5.11
2024 05 11 05 42 00    17.00  -16.56    9.93  -11.11    7.07   -5.45   12.11  -12.03    6.69   -7.21    5.42   -4.82
2024 05 11 05 44 00    16.13  -15.84    9.25  -10.33    6.88   -5.52   12.52  -12.86    7.02   -7.68    5.49   -5.19
2024 05 11 05 46 00    16.58  -16.68   10.01  -11.43    6.57   -5.24   13.42  -13.63    7.55   -8.24    5.87   -5.39
2024 05 11 05 48 00    17.83  -17.71   10.17  -11.21    7.66   -6.50   15.60  -15.33    9.09   -9.41    6.51   -5.92
2024 05 11 05 50 00    18.05  -17.79   10.91  -11.74    7.13   -6.06   15.85  -15.47    9.21   -9.46    6.64   -6.01
2024 05 11 05 52 00    18.98  -18.74   11.70  -12.32    7.28   -6.42   16.35  -16.07    9.40   -9.41    6.95   -6.67
2024 05 11 05 54 00    21.02  -20.80   11.93  -12.75    9.08   -8.05   16.41  -16.06    9.32   -9.27    7.09   -6.78
2024 05 11 05 56 00    20.76  -20.48   11.76  -12.74    9.01   -7.73   17.14  -16.52    9.78   -9.66    7.36   -6.86
2024 05 11 05 58 00    20.34  -20.19   12.32  -13.29    8.02   -6.90   18.06  -17.54   10.22  -10.16    7.85   -7.39
2024 05 11 06 00 00    20.30  -19.82   11.58  -12.53    8.72   -7.30   17.85  -17.07    9.98   -9.89    7.87   -7.18
2024 05 11 06 02 00    21.51  -21.48   11.37  -12.67   10.14   -8.81   18.49  -17.89   10.34  -10.21    8.15   -7.68
2024 05 11 06 04 00    21.88  -21.46   11.93  -12.92    9.95   -8.53   16.13  -15.78    8.87   -8.75    7.26   -7.03
2024 05 11 06 06 00    22.85  -22.61   12.53  -13.37   10.32   -9.25   17.17  -16.41    9.04   -8.99    8.13   -7.43
2024 05 11 06 08 00    22.78  -22.83   12.46  -13.32   10.32   -9.51   18.73  -18.02    9.39   -9.37    9.34   -8.65
2024 05 11 06 10 00    21.14  -21.32   12.35  -13.01    8.78   -8.31   19.17  -18.21    9.46   -9.36    9.71   -8.85
2024 05 11 06 12 00    19.47  -19.05   12.41  -13.04    7.06   -6.01   18.92  -18.36    8.83   -8.90   10.09   -9.46
2024 05 11 06 14 00    18.24  -18.18   11.20  -11.92    7.04   -6.26   20.31  -19.99   10.04   -9.92   10.27  -10.07
2024 05 11 06 16 00    17.35  -17.80   10.31  -11.21    7.03   -6.58   17.50  -16.73    7.27   -6.92   10.23   -9.81
2024 05 11 06 18 00    17.21  -17.33   10.04  -10.54    7.16   -6.78   17.63  -16.87    7.80   -7.38    9.83   -9.50
2024 05 11 06 20 00    19.61  -19.49   11.34  -11.60    8.26   -7.89   17.46  -16.73    8.04   -7.31    9.42   -9.42
2024 05 11 06 22 00    20.19  -20.10   10.22  -10.77    9.97   -9.33   18.53  -17.07    8.06   -7.28   10.47   -9.79
2024 05 11 06 24 00    20.98  -20.89   10.61  -11.13   10.37   -9.76   19.44  -18.07    8.23   -7.39   11.22  -10.68
